ProbeID,Country Code,Violation Timeframe
1001389 , US , 2022-01-29 to 2024-03-30 
1002962 , DE , 2022-03-19 to 2023-01-14 
25312 , IN ," 2022-12-17 to 2022-12-31, 2023-01-14 to 2023-03-04, 2023-07-29 to 2023-08-26, 2023-09-23 to 2023-10-14 "
54393 , HK ," 2022-07-02 to 2022-07-02, 2022-07-16 to 2022-10-22, 2022-11-05 to 2023-06-24, 2023-09-16 to 2023-10-28 "
1000078 , CZ , 2023-03-25 to 2023-04-01 
1001604 , FR ," 2022-07-23 to 2022-07-30, 2022-08-13 to 2022-10-15, 2022-12-24 to 2024-01-06 "
1002691 , US , 2022-01-22 to 2022-12-10 
1002826 , GB , 2022-10-22 to 2022-11-05 
50525 , DK ," 2022-01-22 to 2022-10-15, 2022-10-29 to 2023-03-04, 2023-05-13 to 2023-06-03, 2023-09-09 to 2023-11-11, 2023-12-16 to 2024-02-10, 2024-03-30 to 2024-03-30 "
53985 , HU , 2023-01-14 to 2023-01-14 
32563 , US , 2022-07-02 to 2022-07-09 
1000766 , US , 2022-07-16 to 2022-07-23 
3798 , CY ," 2022-12-31 to 2023-01-14, 2023-01-28 to 2023-01-28, 2024-02-03 to 2024-02-10 "
20466 , MX ," 2022-04-02 to 2022-06-11, 2022-07-30 to 2024-02-10, 2024-02-24 to 2024-03-30 "
1000621 , FR ," 2022-01-15 to 2022-06-11, 2022-06-25 to 2022-07-30, 2022-08-27 to 2022-09-03, 2022-09-17 to 2023-01-21, 2023-02-11 to 2024-03-30 "
1003551 , FR , 2022-01-15 to 2023-04-08 
1003579 , IN , 2022-09-10 to 2022-11-19 
4078 , KE ," 2022-04-16 to 2022-04-30, 2022-05-21 to 2022-05-21, 2022-06-04 to 2022-06-04 "
822 , DE ," 2022-02-05 to 2022-02-26, 2022-03-12 to 2022-04-02, 2022-04-16 to 2022-06-11, 2022-08-20 to 2023-04-08 "
13900 , GB ," 2022-02-05 to 2022-03-05, 2022-03-19 to 2024-03-30 "
1003670 , DE , 2022-02-12 to 2023-03-04 
1003684 , DE ," 2022-02-12 to 2022-07-09, 2023-01-07 to 2024-03-30 "
1003726 , DE , 2022-02-26 to 2022-11-05 
1003799 , DE ," 2022-03-12 to 2022-08-27, 2022-09-24 to 2024-03-16, 2024-03-30 to 2024-03-30 "
1003801 , RU , 2022-12-24 to 2022-12-24 
52272 , US , 2022-03-12 to 2022-03-12 
1003796 , DE , 2022-03-12 to 2022-05-28 
1003862 , MY , 2022-03-19 to 2024-03-30 
53125 , CA ," 2022-03-26 to 2022-04-09, 2024-02-17 to 2024-02-17, 2024-03-09 to 2024-03-09 "
1003103 , US , 2022-03-26 to 2022-04-02 
1003921 , US ," 2022-04-02 to 2022-05-07, 2022-05-21 to 2022-08-13 "
1004032 , DE , 2022-04-09 to 2024-03-30 
1004048 , CN ," 2022-08-27 to 2023-01-21, 2023-02-04 to 2023-03-04, 2023-03-18 to 2023-03-25, 2023-08-19 to 2023-12-09 "
1004053 , FR , 2023-03-25 to 2024-03-30 
1004075 , US , 2022-04-16 to 2024-03-30 
1004076 , US ," 2023-03-25 to 2023-07-29, 2023-10-21 to 2023-11-11 "
1004078 , AE , 2022-04-16 to 2024-03-30 
1004166 , JP , 2022-06-18 to 2022-06-18 
1003928 , US , 2022-05-28 to 2022-06-18 
1004311 , US , 2022-06-11 to 2024-03-30 
1004366 , US , 2022-06-18 to 2022-07-30 
1004407 , US , 2022-06-25 to 2023-04-29 
1004436 , PK ," 2022-10-01 to 2022-10-01, 2022-10-22 to 2022-10-29, 2022-12-03 to 2022-12-10 "
1004443 , US , 2022-07-02 to 2022-08-27 
1004477 , US , 2022-07-09 to 2022-08-27 
33838 , SD , 2022-07-09 to 2022-07-09 
1004506 , DE , 2022-07-16 to 2023-04-29 
1000115 , US ," 2022-07-30 to 2022-09-24, 2022-10-08 to 2023-11-18, 2023-12-02 to 2023-12-16, 2024-01-13 to 2024-03-30 "
1004545 , FR ," 2022-07-30 to 2022-08-06, 2022-08-20 to 2022-10-15, 2022-12-24 to 2022-12-24, 2023-01-21 to 2023-02-11, 2023-02-25 to 2023-03-11, 2023-03-25 to 2023-04-08, 2023-04-29 to 2023-05-06, 2023-05-27 to 2023-06-10, 2023-06-24 to 2023-07-01 "
1004574 , US , 2022-08-13 to 2022-10-22 
1004575 , AT ," 2022-08-13 to 2022-11-12, 2023-02-11 to 2024-03-30 "
50477 , CA , 2022-08-20 to 2024-03-30 
11975 , DK , 2022-08-27 to 2022-08-27 
1004653 , DE , 2022-09-03 to 2023-01-07 
1004652 , DE , 2022-09-03 to 2023-01-07 
1004696 , DE , 2022-09-10 to 2024-01-27 
1004725 , US , 2022-09-10 to 2022-10-15 
34251 , IR , 2022-09-24 to 2022-11-19 
3339 , TN ," 2022-09-24 to 2022-11-05, 2022-11-26 to 2022-12-17, 2023-01-07 to 2023-01-14, 2023-02-04 to 2023-02-04 "
1004773 , DE , 2022-09-24 to 2024-03-30 
1004881 , DE , 2022-10-15 to 2022-11-12 
1004882 , DE ," 2022-10-22 to 2022-12-24, 2023-12-09 to 2024-03-30 "
1004885 , DE , 2022-10-22 to 2022-11-12 
61534 , TN , 2022-11-12 to 2022-11-12 
1005045 , FR , 2022-12-24 to 2022-12-24 
1005073 , US , 2022-12-17 to 2022-12-17 
1005078 , US , 2023-03-25 to 2023-03-25 
18516 , US , 2022-12-17 to 2023-01-21 
25444 , IN , 2023-01-21 to 2023-02-18 
1005311 , CH , 2023-02-04 to 2023-02-18 
16120 , TH , 2023-02-18 to 2023-04-15 
1005377 , DE ," 2023-02-18 to 2023-02-18, 2023-03-11 to 2023-03-11, 2023-04-01 to 2023-04-08 "
1005419 , US , 2023-03-11 to 2023-03-11 
1005413 , US , 2023-02-25 to 2023-11-25 
24520 , FR , 2023-03-04 to 2023-03-04 
1000069 , CZ ," 2023-04-08 to 2023-05-20, 2023-10-07 to 2023-10-14 "
3286 , DE , 2023-07-01 to 2024-03-30 
55148 , GB , 2023-12-09 to 2023-12-30 
62168 , CA , 2023-05-13 to 2024-03-30 
6831 , US , 2023-10-21 to 2024-03-30 
1003442 , RU , 2024-03-16 to 2024-03-16 
1004674 , NL ," 2023-07-01 to 2023-07-01, 2023-07-15 to 2023-09-23, 2023-10-07 to 2023-10-07, 2023-12-02 to 2024-01-06, 2024-01-20 to 2024-03-30 "
60732 , GB , 2023-12-09 to 2023-12-30 
61010 , US , 2023-10-14 to 2023-10-14 
61340 , GB , 2023-05-27 to 2023-05-27 
1004862 , US , 2023-07-01 to 2024-03-30 
4261 , RU ," 2023-10-21 to 2024-02-10, 2024-02-24 to 2024-03-30 "
1003879 , DE ," 2023-12-02 to 2024-01-06, 2024-01-20 to 2024-03-09 "
1004557 , US , 2023-11-18 to 2023-11-18 
35759 , US ," 2023-09-02 to 2023-09-16, 2023-10-07 to 2024-03-30 "
61483 , US , 2023-09-09 to 2023-09-16 
61704 , DE , 2023-07-15 to 2024-03-30 
1005597 , SG , 2023-04-08 to 2023-04-22 
50028 , NZ , 2023-04-08 to 2024-02-24 
60808 , JP ," 2023-08-12 to 2023-09-16, 2023-10-07 to 2024-02-17, 2024-03-02 to 2024-03-30 "
1000017 , DE ," 2023-04-15 to 2024-01-20, 2024-03-09 to 2024-03-30 "
1000013 , DE , 2023-04-15 to 2023-06-17 
1004880 , DE , 2023-04-15 to 2024-01-20 
1005684 , DE , 2023-04-22 to 2023-11-04 
1005743 , US , 2023-11-04 to 2023-12-09 
1005778 , FR , 2023-05-06 to 2023-11-18 
1005780 , DE , 2023-05-06 to 2023-11-25 
3200 , US , 2023-05-27 to 2024-03-30 
1000010 , FR ," 2023-05-27 to 2023-06-10, 2023-06-24 to 2023-09-16, 2023-10-07 to 2024-03-30 "
34946 , PE , 2023-06-17 to 2023-07-08 
1005956 , US , 2023-06-10 to 2023-06-24 
1005985 , US , 2023-09-23 to 2023-09-30 
1005986 , US , 2023-06-17 to 2023-07-15 
1006001 , DE , 2023-06-24 to 2023-11-04 
61815 , CN , 2023-07-01 to 2023-07-15 
1006058 , FR ," 2023-07-08 to 2023-12-09, 2023-12-23 to 2024-03-30 "
1006057 , DE , 2023-07-08 to 2024-03-30 
1006075 , FR ," 2023-07-15 to 2023-10-28, 2023-11-11 to 2023-12-02, 2023-12-30 to 2024-02-17, 2024-03-09 to 2024-03-30 "
31505 , ZA , 2023-11-11 to 2024-02-03 
1003422 , DE , 2024-02-17 to 2024-03-30 
1006291 , FR , 2023-08-26 to 2024-01-27 
1006288 , US , 2023-08-26 to 2024-01-27 
1006377 , DE , 2023-09-16 to 2024-03-30 
1006415 , US , 2023-10-07 to 2024-01-27 
52601 , US , 2023-10-07 to 2023-11-18 
1006403 , FR , 2024-02-03 to 2024-03-16 
1006428 , GB , 2024-03-02 to 2024-03-30 
52141 , US , 2023-10-07 to 2024-02-17 
1006543 , DE , 2023-10-21 to 2024-03-30 
1006569 , US , 2023-10-21 to 2024-03-30 
1006548 , US ," 2023-10-21 to 2023-10-21, 2023-11-11 to 2024-02-03, 2024-02-17 to 2024-03-30 "
1006551 , CA , 2023-10-21 to 2024-02-17 
1006778 , US ," 2023-11-18 to 2023-11-18, 2023-12-02 to 2024-01-27 "
1006781 , DE , 2023-11-18 to 2024-03-30 
54212 , US ," 2023-11-18 to 2023-11-18, 2023-12-02 to 2023-12-16, 2023-12-30 to 2023-12-30, 2024-02-03 to 2024-02-03 "
1006832 , US , 2023-11-25 to 2023-11-25 
1006841 , US , 2023-12-02 to 2023-12-23 
1006851 , US , 2023-12-02 to 2023-12-23 
1006964 , CA ," 2023-12-16 to 2023-12-23, 2024-01-06 to 2024-02-03, 2024-02-17 to 2024-03-30 "
1007170 , DE ," 2023-12-23 to 2024-02-03, 2024-03-23 to 2024-03-30 "
1007207 , CA , 2023-12-30 to 2024-02-17 
1007185 , US , 2024-02-10 to 2024-03-02 
1007250 , US , 2024-01-06 to 2024-01-06 
1007355 , CA ," 2024-01-20 to 2024-01-27, 2024-02-17 to 2024-03-02, 2024-03-30 to 2024-03-30 "
1007433 , DE , 2024-02-03 to 2024-03-30 
1003651 , DE , 2024-02-03 to 2024-03-30 
1002072 , DE , 2024-02-10 to 2024-03-23 
1007545 , ID ," 2024-02-17 to 2024-02-17, 2024-03-02 to 2024-03-09, 2024-03-23 to 2024-03-30 "
1007566 , US , 2024-02-17 to 2024-02-17 
1007795 , US , 2024-03-23 to 2024-03-30 
1007836 , DE , 2024-03-23 to 2024-03-23 
